YYYYMMDD,RH
#,Opmerking:
#,SOURCE:
#,Comment:
#,STN
#,344
#,RH
#,"STN,YYYYMMDD,"
"344,20110329,",0
"344,20110330,",3
"344,20110331,",39
"344,20110401,",-1
"344,20110402,",10
"344,20110403,",12
"344,20110404,",0
"344,20110405,",2
"344,20110406,",0
"344,20110407,",0
"344,20110408,",0
"344,20110409,",0
"344,20110410,",0
"344,20110411,",33
"344,20110412,",-1
"344,20110413,",0
"344,20110414,",0
"344,20110415,",0
"344,20110416,",-1
"344,20110417,",0
"344,20110418,",0
"344,20110419,",0
"344,20110420,",0
"344,20110421,",0
"344,20110422,",-1
"344,20110423,",-1
"344,20110424,",0
"344,20110425,",0
"344,20110426,",0
"344,20110427,",9
"344,20110428,",10
"344,20110429,",6
"344,20110430,",0
"344,20110501,",0
"344,20110502,",0
"344,20110503,",0
"344,20110504,",0
"344,20110505,",0
"344,20110506,",0
"344,20110507,",0
"344,20110508,",7
"344,20110509,",2
"344,20110510,",28
"344,20110511,",0
"344,20110512,",0
"344,20110513,",0
"344,20110514,",-1
"344,20110515,",17
"344,20110516,",33
"344,20110517,",11
"344,20110518,",-1
"344,20110519,",7
"344,20110520,",0
"344,20110521,",0
"344,20110522,",33
"344,20110523,",0
"344,20110524,",0
"344,20110525,",0
"344,20110526,",16
"344,20110527,",18
"344,20110528,",4
"344,20110529,",0
"344,20110530,",3
"344,20110531,",16
"344,20110601,",0
"344,20110602,",0
"344,20110603,",0
"344,20110604,",0
"344,20110605,",9
"344,20110606,",42
"344,20110607,",45
"344,20110608,",11
"344,20110609,",5
"344,20110610,",66
"344,20110611,",1
"344,20110612,",-1
"344,20110613,",18
"344,20110614,",0
"344,20110615,",1
"344,20110616,",225
"344,20110617,",46
"344,20110618,",57
"344,20110619,",153
"344,20110620,",11
"344,20110621,",-1
"344,20110622,",49
"344,20110623,",10
"344,20110624,",-1
"344,20110625,",58
"344,20110626,",0
"344,20110627,",0
"344,20110628,",119
"344,20110629,",3
"344,20110630,",-1
"344,20110701,",124
"344,20110702,",3
"344,20110703,",0
"344,20110704,",0
"344,20110705,",0
"344,20110706,",25
"344,20110707,",10
"344,20110708,",16
"344,20110709,",5
"344,20110710,",0
"344,20110711,",0
"344,20110712,",120
"344,20110713,",65
"344,20110714,",753
"344,20110715,",0
"344,20110716,",168
"344,20110717,",24
"344,20110718,",88
"344,20110719,",0
"344,20110720,",9
"344,20110721,",12
"344,20110722,",16
"344,20110723,",88
"344,20110724,",299
"344,20110725,",1
"344,20110726,",7
"344,20110727,",-1
"344,20110728,",12
"344,20110729,",4
"344,20110730,",-1
"344,20110731,",0
"344,20110801,",0
"344,20110802,",2
"344,20110803,",12
"344,20110804,",38
"344,20110805,",-1
"344,20110806,",43
"344,20110807,",2
"344,20110808,",177
"344,20110809,",6
"344,20110810,",1
"344,20110811,",32
"344,20110812,",44
"344,20110813,",48
"344,20110814,",82
"344,20110815,",0
"344,20110816,",-1
"344,20110817,",-1
"344,20110818,",14
"344,20110819,",6
"344,20110820,",-1
"344,20110821,",11
"344,20110822,",15
"344,20110823,",100
"344,20110824,",62
"344,20110825,",0
"344,20110826,",110
"344,20110827,",296
"344,20110828,",127
"344,20110829,",-1
"344,20110830,",1
"344,20110831,",6
"344,20110901,",0
"344,20110902,",0
"344,20110903,",59
"344,20110904,",52
"344,20110905,",68
"344,20110906,",254
"344,20110907,",44
"344,20110908,",60
"344,20110909,",-1
"344,20110910,",13
"344,20110911,",119
"344,20110912,",7
"344,20110913,",70
"344,20110914,",-1
"344,20110915,",0
"344,20110916,",2
"344,20110917,",62
"344,20110918,",12
"344,20110919,",-1
"344,20110920,",0
"344,20110921,",-1
"344,20110922,",-1
"344,20110923,",0
"344,20110924,",0
"344,20110925,",0
"344,20110926,",21
"344,20110927,",0
"344,20110928,",0
"344,20110929,",0
"344,20110930,",0
"344,20111001,",0
"344,20111002,",0
"344,20111003,",0
"344,20111004,",0
"344,20111005,",1
"344,20111006,",37
"344,20111007,",141
"344,20111008,",135
"344,20111009,",24
"344,20111010,",-1
"344,20111011,",28
"344,20111012,",94
"344,20111013,",0
"344,20111014,",0
"344,20111015,",0
"344,20111016,",0
"344,20111017,",0
"344,20111018,",62
"344,20111019,",35
"344,20111020,",59
"344,20111021,",0
"344,20111022,",0
"344,20111023,",0
"344,20111024,",0
"344,20111025,",21
"344,20111026,",1
"344,20111027,",0
"344,20111028,",15
"344,20111029,",0
"344,20111030,",-1
"344,20111031,",0
"344,20111101,",26
"344,20111102,",-1
"344,20111103,",-1
"344,20111104,",-1
"344,20111105,",1
"344,20111106,",0
"344,20111107,",0
"344,20111108,",0
"344,20111109,",-1
"344,20111110,",0
"344,20111111,",0
"344,20111112,",0
"344,20111113,",0
"344,20111114,",0
"344,20111115,",0
"344,20111116,",0
"344,20111117,",0
"344,20111118,",0
"344,20111119,",0
"344,20111120,",0
"344,20111121,",0
"344,20111122,",0
"344,20111123,",8
"344,20111124,",0
"344,20111125,",-1
"344,20111126,",0
"344,20111127,",2
"344,20111128,",0
"344,20111129,",10
"344,20111130,",0
"344,20111201,",182
"344,20111202,",61
"344,20111203,",87
"344,20111204,",11
"344,20111205,",3
"344,20111206,",10
"344,20111207,",53
"344,20111208,",113
"344,20111209,",8
"344,20111210,",4
"344,20111211,",3
"344,20111212,",20
"344,20111213,",104
"344,20111214,",91
"344,20111215,",71
"344,20111216,",159
"344,20111217,",68
"344,20111218,",68
"344,20111219,",78
"344,20111220,",29
"344,20111221,",35
"344,20111222,",4
"344,20111223,",42
"344,20111224,",38
"344,20111225,",-1
"344,20111226,",-1
"344,20111227,",0
"344,20111228,",0
"344,20111229,",91
"344,20111230,",42
"344,20111231,",27
"344,20120101,",207
"344,20120102,",-1
"344,20120103,",144
"344,20120104,",36
"344,20120105,",84
"344,20120106,",8
"344,20120107,",30
"344,20120108,",-1
"344,20120109,",8
"344,20120110,",0
"344,20120111,",10
"344,20120112,",9
"344,20120113,",4
"344,20120114,",-1
"344,20120115,",0
"344,20120116,",0
"344,20120117,",0
"344,20120118,",32
"344,20120119,",144
"344,20120120,",-1
"344,20120121,",35
"344,20120122,",19
"344,20120123,",16
"344,20120124,",5
"344,20120125,",5
"344,20120126,",33
"344,20120127,",-1
"344,20120128,",-1
"344,20120129,",0
"344,20120130,",1
"344,20120131,",-1
"344,20120201,",0
"344,20120202,",0
"344,20120203,",27
"344,20120204,",0
"344,20120205,",0
"344,20120206,",0
"344,20120207,",0
"344,20120208,",0
