YYYYMMDD,RH
#,Opmerking:
#,SOURCE:
#,Comment:
#,STN
#,344
#,RH
#,"STN,YYYYMMDD,"
"344,20140508,",167
"344,20140509,",131
"344,20140510,",73
"344,20140511,",60
"344,20140512,",30
"344,20140513,",0
"344,20140514,",11
"344,20140515,",0
"344,20140516,",0
"344,20140517,",0
"344,20140518,",0
"344,20140519,",0
"344,20140520,",110
"344,20140521,",35
"344,20140522,",12
"344,20140523,",0
"344,20140524,",0
"344,20140525,",0
"344,20140526,",19
"344,20140527,",209
"344,20140528,",19
"344,20140529,",2
"344,20140530,",0
"344,20140531,",0
"344,20140601,",0
"344,20140602,",0
"344,20140603,",10
"344,20140604,",107
"344,20140605,",13
"344,20140606,",0
"344,20140607,",0
"344,20140608,",5
"344,20140609,",12
"344,20140610,",53
"344,20140611,",0
"344,20140612,",0
"344,20140613,",0
"344,20140614,",-1
"344,20140615,",0
"344,20140616,",8
"344,20140617,",0
"344,20140618,",0
"344,20140619,",6
"344,20140620,",6
"344,20140621,",0
"344,20140622,",0
"344,20140623,",0
"344,20140624,",0
"344,20140625,",0
"344,20140626,",0
"344,20140627,",20
"344,20140628,",0
"344,20140629,",6
"344,20140630,",18
"344,20140701,",0
"344,20140702,",0
"344,20140703,",0
"344,20140704,",2
"344,20140705,",24
"344,20140706,",31
"344,20140707,",2
"344,20140708,",190
"344,20140709,",87
"344,20140710,",0
"344,20140711,",4
"344,20140712,",0
"344,20140713,",0
"344,20140714,",0
"344,20140715,",0
"344,20140716,",0
"344,20140717,",0
"344,20140718,",0
"344,20140719,",1
"344,20140720,",54
"344,20140721,",8
"344,20140722,",0
"344,20140723,",0
"344,20140724,",0
"344,20140725,",6
"344,20140726,",0
"344,20140727,",0
"344,20140728,",256
"344,20140729,",0
"344,20140730,",0
"344,20140731,",0
"344,20140801,",0
"344,20140802,",0
"344,20140803,",15
"344,20140804,",60
"344,20140805,",0
"344,20140806,",63
"344,20140807,",10
"344,20140808,",13
"344,20140809,",35
"344,20140810,",71
"344,20140811,",33
"344,20140812,",12
"344,20140813,",0
"344,20140814,",86
"344,20140815,",59
"344,20140816,",25
"344,20140817,",114
"344,20140818,",53
"344,20140819,",72
"344,20140820,",66
"344,20140821,",18
"344,20140822,",160
"344,20140823,",100
"344,20140824,",21
"344,20140825,",125
"344,20140826,",142
"344,20140827,",0
"344,20140828,",14
"344,20140829,",0
"344,20140830,",32
"344,20140831,",72
"344,20140901,",-1
"344,20140902,",0
"344,20140903,",0
"344,20140904,",0
"344,20140905,",0
"344,20140906,",0
"344,20140907,",0
"344,20140908,",0
"344,20140909,",2
"344,20140910,",0
"344,20140911,",0
"344,20140912,",0
"344,20140913,",0
"344,20140914,",0
"344,20140915,",0
"344,20140916,",0
"344,20140917,",0
"344,20140918,",0
"344,20140919,",0
"344,20140920,",0
"344,20140921,",7
"344,20140922,",3
"344,20140923,",0
"344,20140924,",118
"344,20140925,",1
"344,20140926,",3
"344,20140927,",0
"344,20140928,",0
"344,20140929,",27
"344,20140930,",0
"344,20141001,",0
"344,20141002,",-1
"344,20141003,",0
"344,20141004,",85
"344,20141005,",-1
"344,20141006,",12
"344,20141007,",82
"344,20141008,",28
"344,20141009,",15
"344,20141010,",0
"344,20141011,",42
"344,20141012,",29
"344,20141013,",-1
"344,20141014,",11
"344,20141015,",12
"344,20141016,",46
"344,20141017,",-1
"344,20141018,",0
"344,20141019,",-1
"344,20141020,",10
"344,20141021,",141
"344,20141022,",69
"344,20141023,",-1
"344,20141024,",111
"344,20141025,",-1
"344,20141026,",0
"344,20141027,",0
"344,20141028,",0
"344,20141029,",2
"344,20141030,",-1
"344,20141031,",0
"344,20141101,",0
"344,20141102,",26
"344,20141103,",110
"344,20141104,",-1
"344,20141105,",0
"344,20141106,",0
"344,20141107,",15
"344,20141108,",1
"344,20141109,",0
"344,20141110,",-1
"344,20141111,",0
"344,20141112,",6
"344,20141113,",0
"344,20141114,",70
"344,20141115,",117
"344,20141116,",74
"344,20141117,",-1
"344,20141118,",-1
"344,20141119,",0
"344,20141120,",0
"344,20141121,",-1
"344,20141122,",0
"344,20141123,",22
"344,20141124,",11
"344,20141125,",0
"344,20141126,",2
"344,20141127,",8
"344,20141128,",0
"344,20141129,",0
"344,20141130,",59
"344,20141201,",0
"344,20141202,",2
"344,20141203,",-1
"344,20141204,",0
"344,20141205,",36
"344,20141206,",14
"344,20141207,",34
"344,20141208,",121
"344,20141209,",-1
"344,20141210,",52
"344,20141211,",87
"344,20141212,",121
"344,20141213,",16
"344,20141214,",1
"344,20141215,",49
"344,20141216,",7
"344,20141217,",28
"344,20141218,",5
"344,20141219,",115
"344,20141220,",19
"344,20141221,",0
"344,20141222,",3
"344,20141223,",-1
"344,20141224,",99
"344,20141225,",40
"344,20141226,",-1
"344,20141227,",238
"344,20141228,",10
"344,20141229,",30
"344,20141230,",-1
"344,20141231,",0
"344,20150101,",1
"344,20150102,",17
"344,20150103,",32
"344,20150104,",4
"344,20150105,",0
"344,20150106,",12
"344,20150107,",15
"344,20150108,",187
"344,20150109,",102
"344,20150110,",23
"344,20150111,",-1
"344,20150112,",59
"344,20150113,",124
"344,20150114,",12
"344,20150115,",82
"344,20150116,",46
"344,20150117,",1
"344,20150118,",29
"344,20150119,",1
"344,20150120,",0
"344,20150121,",0
"344,20150122,",0
"344,20150123,",0
"344,20150124,",84
"344,20150125,",1
"344,20150126,",20
"344,20150127,",0
"344,20150128,",80
"344,20150129,",73
"344,20150130,",25
"344,20150131,",13
"344,20150201,",61
"344,20150202,",45
"344,20150203,",6
"344,20150204,",9
"344,20150205,",15
"344,20150206,",0
"344,20150207,",2
"344,20150208,",0
"344,20150209,",-1
"344,20150210,",-1
"344,20150211,",0
"344,20150212,",0
"344,20150213,",-1
"344,20150214,",-1
"344,20150215,",-1
"344,20150216,",0
"344,20150217,",1
"344,20150218,",0
"344,20150219,",10
"344,20150220,",305
"344,20150221,",41
"344,20150222,",56
"344,20150223,",22
"344,20150224,",37
"344,20150225,",24
"344,20150226,",84
"344,20150227,",0
"344,20150228,",0
"344,20150301,",65
"344,20150302,",3
"344,20150303,",41
"344,20150304,",12
"344,20150305,",0
"344,20150306,",0
"344,20150307,",0
"344,20150308,",-1
"344,20150309,",3
"344,20150310,",-1
"344,20150311,",0
"344,20150312,",0
"344,20150313,",0
"344,20150314,",3
"344,20150315,",-1
"344,20150316,",0
"344,20150317,",0
"344,20150318,",0
"344,20150319,",0
"344,20150320,",-1
"344,20150321,",8
"344,20150322,",0
"344,20150323,",0
"344,20150324,",25
"344,20150325,",76
"344,20150326,",51
"344,20150327,",0
"344,20150328,",12
"344,20150329,",125
"344,20150330,",73
"344,20150331,",76
"344,20150401,",36
"344,20150402,",48
"344,20150403,",-1
"344,20150404,",20
"344,20150405,",0
"344,20150406,",-1
"344,20150407,",0
"344,20150408,",0
"344,20150409,",0
"344,20150410,",0
"344,20150411,",27
"344,20150412,",-1
"344,20150413,",-1
"344,20150414,",0
"344,20150415,",0
"344,20150416,",0
"344,20150417,",0
"344,20150418,",0
"344,20150419,",0
"344,20150420,",0
"344,20150421,",0
"344,20150422,",0
"344,20150423,",0
"344,20150424,",0
"344,20150425,",10
"344,20150426,",14
"344,20150427,",0
"344,20150428,",-1
"344,20150429,",22
"344,20150430,",-1
"344,20150501,",0
"344,20150502,",0
"344,20150503,",21
"344,20150504,",58
"344,20150505,",101
"344,20150506,",39
"344,20150507,",-1
"344,20150508,",15
"344,20150509,",22
"344,20150510,",0
"344,20150511,",0
"344,20150512,",1
"344,20150513,",0
"344,20150514,",0
"344,20150515,",0
"344,20150516,",26
"344,20150517,",0
"344,20150518,",42
"344,20150519,",11
"344,20150520,",2
"344,20150521,",0
"344,20150522,",0
"344,20150523,",1
"344,20150524,",4
"344,20150525,",1
"344,20150526,",-1
"344,20150527,",0
"344,20150528,",10
"344,20150529,",11
"344,20150530,",0
"344,20150531,",70
"344,20150601,",0
"344,20150602,",35
"344,20150603,",0
"344,20150604,",0
"344,20150605,",31
"344,20150606,",-1
"344,20150607,",0
"344,20150608,",0
"344,20150609,",1
"344,20150610,",0
"344,20150611,",0
"344,20150612,",0
"344,20150613,",4
"344,20150614,",-1
"344,20150615,",-1
"344,20150616,",0
"344,20150617,",25
"344,20150618,",1
"344,20150619,",14
"344,20150620,",4
"344,20150621,",21
"344,20150622,",47
"344,20150623,",28
"344,20150624,",0
"344,20150625,",0
"344,20150626,",-1
"344,20150627,",-1
"344,20150628,",-1
"344,20150629,",0
"344,20150630,",0
"344,20150701,",0
"344,20150702,",-1
"344,20150703,",0
"344,20150704,",0
"344,20150705,",50
"344,20150706,",0
"344,20150707,",-1
"344,20150708,",48
"344,20150709,",8
"344,20150710,",0
"344,20150711,",0
"344,20150712,",7
"344,20150713,",48
"344,20150714,",17
"344,20150715,",21
"344,20150716,",2
"344,20150717,",13
"344,20150718,",0
"344,20150719,",61
"344,20150720,",7
"344,20150721,",5
"344,20150722,",2
"344,20150723,",0
"344,20150724,",-1
"344,20150725,",87
"344,20150726,",49
"344,20150727,",117
"344,20150728,",214
"344,20150729,",61
"344,20150730,",14
"344,20150731,",0
"344,20150801,",0
"344,20150802,",0
"344,20150803,",-1
"344,20150804,",43
"344,20150805,",0
"344,20150806,",0
"344,20150807,",0
"344,20150808,",0
"344,20150809,",0
"344,20150810,",-1
"344,20150811,",-1
"344,20150812,",-1
"344,20150813,",225
"344,20150814,",33
"344,20150815,",79
"344,20150816,",6
"344,20150817,",185
"344,20150818,",84
"344,20150819,",5
"344,20150820,",0
"344,20150821,",-1
"344,20150822,",0
"344,20150823,",40
"344,20150824,",120
"344,20150825,",108
"344,20150826,",115
"344,20150827,",162
"344,20150828,",-1
"344,20150829,",47
"344,20150830,",82
"344,20150831,",119
"344,20150901,",-1
"344,20150902,",65
"344,20150903,",88
"344,20150904,",265
"344,20150905,",37
"344,20150906,",16
"344,20150907,",20
"344,20150908,",1
"344,20150909,",0
"344,20150910,",0
"344,20150911,",0
"344,20150912,",5
"344,20150913,",6
"344,20150914,",66
"344,20150915,",21
"344,20150916,",62
"344,20150917,",168
"344,20150918,",39
"344,20150919,",5
"344,20150920,",0
"344,20150921,",15
"344,20150922,",42
"344,20150923,",179
"344,20150924,",52
"344,20150925,",6
"344,20150926,",0
"344,20150927,",0
"344,20150928,",0
"344,20150929,",0
"344,20150930,",0
"344,20151001,",0
"344,20151002,",0
"344,20151003,",0
"344,20151004,",0
"344,20151005,",12
"344,20151006,",29
"344,20151007,",83
"344,20151008,",0
"344,20151009,",0
"344,20151010,",0
"344,20151011,",0
"344,20151012,",0
"344,20151013,",0
"344,20151014,",13
"344,20151015,",80
"344,20151016,",26
"344,20151017,",10
"344,20151018,",-1
"344,20151019,",0
"344,20151020,",15
"344,20151021,",24
"344,20151022,",18
"344,20151023,",0
"344,20151024,",-1
"344,20151025,",8
"344,20151026,",0
"344,20151027,",0
"344,20151028,",1
"344,20151029,",0
"344,20151030,",0
"344,20151031,",0
"344,20151101,",0
"344,20151102,",0
"344,20151103,",0
"344,20151104,",-1
"344,20151105,",68
"344,20151106,",28
"344,20151107,",18
"344,20151108,",4
"344,20151109,",23
"344,20151110,",12
"344,20151111,",16
"344,20151112,",0
"344,20151113,",34
"344,20151114,",74
"344,20151115,",54
"344,20151116,",56
"344,20151117,",194
"344,20151118,",2
"344,20151119,",54
"344,20151120,",11
"344,20151121,",67
"344,20151122,",87
"344,20151123,",2
"344,20151124,",115
"344,20151125,",66
"344,20151126,",18
"344,20151127,",14
"344,20151128,",109
"344,20151129,",149
"344,20151130,",150
"344,20151201,",14
"344,20151202,",0
"344,20151203,",0
"344,20151204,",77
"344,20151205,",0
"344,20151206,",19
"344,20151207,",10
"344,20151208,",36
"344,20151209,",0
"344,20151210,",9
"344,20151211,",154
"344,20151212,",18
"344,20151213,",37
"344,20151214,",0
"344,20151215,",10
"344,20151216,",32
"344,20151217,",5
"344,20151218,",-1
"344,20151219,",0
"344,20151220,",3
"344,20151221,",78
"344,20151222,",6
"344,20151223,",8
"344,20151224,",43
"344,20151225,",5
"344,20151226,",-1
"344,20151227,",-1
"344,20151228,",0
"344,20151229,",15
"344,20151230,",0
"344,20151231,",22
"344,20160101,",0
"344,20160102,",62
"344,20160103,",126
"344,20160104,",52
"344,20160105,",5
"344,20160106,",13
"344,20160107,",166
"344,20160108,",-1
"344,20160109,",6
"344,20160110,",25
"344,20160111,",48
"344,20160112,",87
"344,20160113,",62
"344,20160114,",175
"344,20160115,",94
"344,20160116,",55
"344,20160117,",0
"344,20160118,",0
"344,20160119,",1
"344,20160120,",54
"344,20160121,",0
"344,20160122,",37
"344,20160123,",0
"344,20160124,",29
"344,20160125,",0
"344,20160126,",35
"344,20160127,",128
"344,20160128,",1
"344,20160129,",18
"344,20160130,",159
"344,20160131,",39
"344,20160201,",-1
"344,20160202,",2
"344,20160203,",12
"344,20160204,",41
"344,20160205,",2
"344,20160206,",0
"344,20160207,",21
"344,20160208,",77
"344,20160209,",101
"344,20160210,",93
"344,20160211,",0
"344,20160212,",1
"344,20160213,",1
"344,20160214,",89
"344,20160215,",-1
"344,20160216,",0
"344,20160217,",0
"344,20160218,",36
"344,20160219,",2
"344,20160220,",92
"344,20160221,",47
"344,20160222,",72
"344,20160223,",19
"344,20160224,",5
"344,20160225,",18
"344,20160226,",-1
"344,20160227,",0
"344,20160228,",0
"344,20160229,",0
"344,20160301,",87
"344,20160302,",60
"344,20160303,",-1
"344,20160304,",121
"344,20160305,",5
"344,20160306,",14
"344,20160307,",38
"344,20160308,",10
"344,20160309,",0
"344,20160310,",0
"344,20160311,",0
"344,20160312,",0
"344,20160313,",0
"344,20160314,",0
"344,20160315,",0
"344,20160316,",0
"344,20160317,",0
"344,20160318,",-1
"344,20160319,",0
"344,20160320,",9
"344,20160321,",4
"344,20160322,",0
"344,20160323,",2
"344,20160324,",11
"344,20160325,",63
"344,20160326,",5
"344,20160327,",122
"344,20160328,",39
"344,20160329,",88
"344,20160330,",4
"344,20160331,",4
"344,20160401,",0
"344,20160402,",2
"344,20160403,",19
"344,20160404,",19
"344,20160405,",-1
"344,20160406,",34
"344,20160407,",76
"344,20160408,",-1
"344,20160409,",8
"344,20160410,",17
"344,20160411,",7
"344,20160412,",-1
"344,20160413,",-1
"344,20160414,",-1
"344,20160415,",120
"344,20160416,",47
"344,20160417,",8
"344,20160418,",0
"344,20160419,",0
"344,20160420,",0
"344,20160421,",0
"344,20160422,",0
"344,20160423,",14
"344,20160424,",36
"344,20160425,",119
"344,20160426,",42
"344,20160427,",86
"344,20160428,",8
"344,20160429,",56
"344,20160430,",-1
"344,20160501,",0
"344,20160502,",44
"344,20160503,",5
"344,20160504,",0
"344,20160505,",0
"344,20160506,",0
"344,20160507,",0
"344,20160508,",0
"344,20160509,",0
"344,20160510,",-1
"344,20160511,",0
"344,20160512,",0
"344,20160513,",0
"344,20160514,",23
"344,20160515,",11
"344,20160516,",16
"344,20160517,",0
"344,20160518,",11
"344,20160519,",6
"344,20160520,",7
"344,20160521,",-1
"344,20160522,",113
"344,20160523,",85
"344,20160524,",0
"344,20160525,",6
"344,20160526,",0
"344,20160527,",0
"344,20160528,",-1
"344,20160529,",16
"344,20160530,",158
"344,20160531,",0
"344,20160601,",12
"344,20160602,",-1
"344,20160603,",-1
"344,20160604,",97
"344,20160605,",0
"344,20160606,",-1
"344,20160607,",-1
"344,20160608,",0
"344,20160609,",-1
"344,20160610,",-1
"344,20160611,",57
"344,20160612,",73
"344,20160613,",25
"344,20160614,",166
"344,20160615,",32
"344,20160616,",114
"344,20160617,",37
"344,20160618,",41
"344,20160619,",0
"344,20160620,",215
"344,20160621,",8
"344,20160622,",131
"344,20160623,",368
"344,20160624,",-1
"344,20160625,",-1
"344,20160626,",3
"344,20160627,",20
"344,20160628,",51
"344,20160629,",13
"344,20160630,",156
"344,20160701,",67
"344,20160702,",12
"344,20160703,",0
"344,20160704,",0
"344,20160705,",19
"344,20160706,",36
"344,20160707,",-1
"344,20160708,",10
"344,20160709,",0
"344,20160710,",0
"344,20160711,",0
"344,20160712,",10
"344,20160713,",3
"344,20160714,",0
"344,20160715,",0
"344,20160716,",0
"344,20160717,",-1
"344,20160718,",0
"344,20160719,",0
"344,20160720,",0
"344,20160721,",0
"344,20160722,",-1
"344,20160723,",-1
"344,20160724,",-1
"344,20160725,",2
"344,20160726,",0
"344,20160727,",38
"344,20160728,",17
"344,20160729,",15
"344,20160730,",17
"344,20160731,",2
"344,20160801,",16
"344,20160802,",62
"344,20160803,",32
"344,20160804,",2
"344,20160805,",0
"344,20160806,",4
"344,20160807,",-1
"344,20160808,",2
"344,20160809,",30
"344,20160810,",46
"344,20160811,",145
"344,20160812,",7
"344,20160813,",0
"344,20160814,",0
"344,20160815,",0
"344,20160816,",0
"344,20160817,",0
"344,20160818,",0
"344,20160819,",8
"344,20160820,",0
"344,20160821,",238
"344,20160822,",37
"344,20160823,",0
"344,20160824,",0
"344,20160825,",0
"344,20160826,",-1
"344,20160827,",0
"344,20160828,",80
"344,20160829,",24
"344,20160830,",0
"344,20160831,",0
"344,20160901,",0
"344,20160902,",8
"344,20160903,",4
"344,20160904,",44
"344,20160905,",0
"344,20160906,",-1
"344,20160907,",0
"344,20160908,",0
"344,20160909,",0
"344,20160910,",0
"344,20160911,",9
"344,20160912,",0
"344,20160913,",0
"344,20160914,",0
"344,20160915,",70
"344,20160916,",0
"344,20160917,",3
"344,20160918,",0
"344,20160919,",0
"344,20160920,",0
"344,20160921,",0
"344,20160922,",0
"344,20160923,",23
"344,20160924,",0
"344,20160925,",-1
"344,20160926,",1
"344,20160927,",4
"344,20160928,",6
"344,20160929,",51
"344,20160930,",-1
"344,20161001,",30
"344,20161002,",102
"344,20161003,",238
"344,20161004,",0
"344,20161005,",0
"344,20161006,",0
"344,20161007,",0
"344,20161008,",13
"344,20161009,",-1
"344,20161010,",0
"344,20161011,",0
"344,20161012,",0
"344,20161013,",0
"344,20161014,",52
"344,20161015,",58
"344,20161016,",4
"344,20161017,",8
"344,20161018,",115
"344,20161019,",53
"344,20161020,",21
"344,20161021,",4
"344,20161022,",0
"344,20161023,",0
"344,20161024,",0
"344,20161025,",0
"344,20161026,",-1
"344,20161027,",0
"344,20161028,",-1
"344,20161029,",0
"344,20161030,",0
"344,20161031,",0
"344,20161101,",24
"344,20161102,",35
"344,20161103,",13
"344,20161104,",32
"344,20161105,",51
"344,20161106,",81
"344,20161107,",8
"344,20161108,",83
"344,20161109,",44
"344,20161110,",120
"344,20161111,",0
"344,20161112,",4
"344,20161113,",20
"344,20161114,",28
"344,20161115,",23
"344,20161116,",89
"344,20161117,",152
"344,20161118,",10
"344,20161119,",-1
"344,20161120,",48
"344,20161121,",61
"344,20161122,",0
"344,20161123,",11
"344,20161124,",0
"344,20161125,",-1
"344,20161126,",0
"344,20161127,",1
"344,20161128,",0
"344,20161129,",0
"344,20161130,",0
"344,20161201,",0
"344,20161202,",5
"344,20161203,",0
"344,20161204,",0
"344,20161205,",0
"344,20161206,",0
"344,20161207,",0
"344,20161208,",-1
"344,20161209,",0
"344,20161210,",35
"344,20161211,",15
"344,20161212,",-1
"344,20161213,",-1
"344,20161214,",0
"344,20161215,",0
"344,20161216,",0
"344,20161217,",-1
"344,20161218,",0
"344,20161219,",0
"344,20161220,",0
"344,20161221,",44
"344,20161222,",9
"344,20161223,",6
"344,20161224,",3
"344,20161225,",5
"344,20161226,",10
"344,20161227,",0
"344,20161228,",0
"344,20161229,",0
"344,20161230,",-1
"344,20161231,",7
"344,20170101,",20
"344,20170102,",19
"344,20170103,",5
"344,20170104,",13
"344,20170105,",5
"344,20170106,",-1
"344,20170107,",26
"344,20170108,",0
"344,20170109,",77
"344,20170110,",22
"344,20170111,",5
"344,20170112,",179
"344,20170113,",107
"344,20170114,",39
"344,20170115,",16
"344,20170116,",0
"344,20170117,",-1
"344,20170118,",-1
"344,20170119,",0
"344,20170120,",0
"344,20170121,",0
"344,20170122,",0
"344,20170123,",-1
"344,20170124,",25
"344,20170125,",0
"344,20170126,",0
"344,20170127,",0
"344,20170128,",-1
"344,20170129,",29
"344,20170130,",61
"344,20170131,",0
"344,20170201,",10
"344,20170202,",12
"344,20170203,",2
"344,20170204,",66
"344,20170205,",-1
"344,20170206,",0
"344,20170207,",9
"344,20170208,",-1
"344,20170209,",0
"344,20170210,",3
"344,20170211,",36
"344,20170212,",10
"344,20170213,",0
"344,20170214,",0
"344,20170215,",8
"344,20170216,",0
"344,20170217,",6
"344,20170218,",0
"344,20170219,",1
"344,20170220,",41
"344,20170221,",7
"344,20170222,",185
"344,20170223,",87
"344,20170224,",10
"344,20170225,",2
"344,20170226,",22
"344,20170227,",88
"344,20170228,",70
"344,20170301,",52
"344,20170302,",56
"344,20170303,",3
"344,20170304,",18
"344,20170305,",51
"344,20170306,",5
"344,20170307,",-1
"344,20170308,",157
"344,20170309,",8
"344,20170310,",0
"344,20170311,",0
"344,20170312,",0
"344,20170313,",0
"344,20170314,",0
"344,20170315,",0
"344,20170316,",0
"344,20170317,",54
"344,20170318,",96
"344,20170319,",3
"344,20170320,",42
"344,20170321,",0
"344,20170322,",0
"344,20170323,",0
"344,20170324,",0
"344,20170325,",0
"344,20170326,",0
"344,20170327,",0
"344,20170328,",0
"344,20170329,",1
"344,20170330,",0
"344,20170331,",-1
"344,20170401,",5
"344,20170402,",0
"344,20170403,",0
"344,20170404,",0
"344,20170405,",0
"344,20170406,",-1
"344,20170407,",0
"344,20170408,",0
"344,20170409,",0
"344,20170410,",0
"344,20170411,",0
"344,20170412,",4
"344,20170413,",0
"344,20170414,",3
"344,20170415,",31
"344,20170416,",2
"344,20170417,",86
"344,20170418,",54
"344,20170419,",0
"344,20170420,",0
"344,20170421,",1
"344,20170422,",14
"344,20170423,",1
"344,20170424,",41
"344,20170425,",26
"344,20170426,",24
"344,20170427,",5
"344,20170428,",29
"344,20170429,",0
"344,20170430,",0
"344,20170501,",-1
"344,20170502,",99
"344,20170503,",55
"344,20170504,",-1
"344,20170505,",-1
"344,20170506,",0
"344,20170507,",1
"344,20170508,",-1
"344,20170509,",0
"344,20170510,",0
"344,20170511,",-1
"344,20170512,",107
"344,20170513,",21
"344,20170514,",-1
"344,20170515,",1
"344,20170516,",0
"344,20170517,",0
"344,20170518,",34
"344,20170519,",5
"344,20170520,",1
"344,20170521,",0
"344,20170522,",0
"344,20170523,",0
"344,20170524,",0
"344,20170525,",0
"344,20170526,",0
"344,20170527,",0
"344,20170528,",0
"344,20170529,",-1
"344,20170530,",-1
"344,20170531,",0
"344,20170601,",0
"344,20170602,",0
"344,20170603,",32
"344,20170604,",0
"344,20170605,",-1
"344,20170606,",87
"344,20170607,",38
"344,20170608,",14
"344,20170609,",106
"344,20170610,",0
"344,20170611,",0
"344,20170612,",0
"344,20170613,",0
"344,20170614,",0
"344,20170615,",0
"344,20170616,",0
"344,20170617,",0
"344,20170618,",0
"344,20170619,",0
"344,20170620,",0
"344,20170621,",0
"344,20170622,",22
"344,20170623,",0
"344,20170624,",13
"344,20170625,",24
"344,20170626,",-1
"344,20170627,",22
"344,20170628,",50
"344,20170629,",-1
"344,20170630,",41
"344,20170701,",79
"344,20170702,",-1
"344,20170703,",3
"344,20170704,",0
"344,20170705,",0
"344,20170706,",52
"344,20170707,",0
"344,20170708,",0
"344,20170709,",0
"344,20170710,",-1
"344,20170711,",96
"344,20170712,",363
"344,20170713,",0
"344,20170714,",34
"344,20170715,",7
"344,20170716,",18
"344,20170717,",-1
"344,20170718,",0
"344,20170719,",46
"344,20170720,",19
"344,20170721,",0
"344,20170722,",11
"344,20170723,",72
"344,20170724,",89
"344,20170725,",121
"344,20170726,",29
"344,20170727,",-1
"344,20170728,",31
"344,20170729,",313
"344,20170730,",25
"344,20170731,",-1
"344,20170801,",0
"344,20170802,",30
"344,20170803,",15
"344,20170804,",8
"344,20170805,",38
"344,20170806,",0
"344,20170807,",0
"344,20170808,",102
"344,20170809,",0
"344,20170810,",19
"344,20170811,",6
"344,20170812,",44
"344,20170813,",0
"344,20170814,",0
"344,20170815,",56
"344,20170816,",0
"344,20170817,",27
"344,20170818,",2
"344,20170819,",83
"344,20170820,",1
"344,20170821,",0
"344,20170822,",0
"344,20170823,",-1
"344,20170824,",0
"344,20170825,",0
"344,20170826,",0
"344,20170827,",0
"344,20170828,",0
"344,20170829,",5
"344,20170830,",344
"344,20170831,",82
"344,20170901,",43
"344,20170902,",-1
"344,20170903,",0
"344,20170904,",0
"344,20170905,",15
"344,20170906,",46
"344,20170907,",8
"344,20170908,",429
"344,20170909,",261
"344,20170910,",7
"344,20170911,",174
"344,20170912,",12
"344,20170913,",133
"344,20170914,",226
"344,20170915,",176
"344,20170916,",107
"344,20170917,",22
"344,20170918,",22
"344,20170919,",-1
"344,20170920,",3
"344,20170921,",0
"344,20170922,",2
"344,20170923,",0
"344,20170924,",0
"344,20170925,",0
"344,20170926,",0
"344,20170927,",0
"344,20170928,",21
"344,20170929,",138
"344,20170930,",7
"344,20171001,",-1
"344,20171002,",8
"344,20171003,",5
"344,20171004,",22
"344,20171005,",184
"344,20171006,",53
"344,20171007,",122
"344,20171008,",12
"344,20171009,",42
"344,20171010,",9
"344,20171011,",50
"344,20171012,",0
"344,20171013,",0
"344,20171014,",0
"344,20171015,",0
"344,20171016,",-1
"344,20171017,",0
"344,20171018,",-1
"344,20171019,",6
"344,20171020,",72
"344,20171021,",25
"344,20171022,",168
"344,20171023,",17
"344,20171024,",7
"344,20171025,",0
"344,20171026,",-1
"344,20171027,",19
"344,20171028,",0
"344,20171029,",13
"344,20171030,",8
"344,20171031,",-1
"344,20171101,",0
"344,20171102,",4
"344,20171103,",0
"344,20171104,",17
"344,20171105,",52
"344,20171106,",14
"344,20171107,",0
"344,20171108,",1
"344,20171109,",5
"344,20171110,",9
"344,20171111,",13
"344,20171112,",137
"344,20171113,",33
"344,20171114,",15
"344,20171115,",17
"344,20171116,",15
"344,20171117,",0
"344,20171118,",9
"344,20171119,",15
"344,20171120,",83
"344,20171121,",21
"344,20171122,",5
"344,20171123,",30
"344,20171124,",43
"344,20171125,",10
"344,20171126,",8
"344,20171127,",189
"344,20171128,",29
"344,20171129,",37
"344,20171130,",135
"344,20171201,",0
"344,20171202,",0
"344,20171203,",26
"344,20171204,",2
"344,20171205,",0
"344,20171206,",0
"344,20171207,",75
"344,20171208,",119
"344,20171209,",73
"344,20171210,",187
"344,20171211,",80
"344,20171212,",22
"344,20171213,",156
"344,20171214,",89
"344,20171215,",20
"344,20171216,",40
"344,20171217,",58
"344,20171218,",9
"344,20171219,",0
"344,20171220,",1
"344,20171221,",9
"344,20171222,",17
"344,20171223,",-1
"344,20171224,",3
"344,20171225,",6
"344,20171226,",14
"344,20171227,",59
"344,20171228,",12
"344,20171229,",99
"344,20171230,",59
"344,20171231,",253
"344,20180101,",19
"344,20180102,",64
"344,20180103,",89
"344,20180104,",10
"344,20180105,",60
"344,20180106,",0
"344,20180107,",0
"344,20180108,",0
"344,20180109,",-1
"344,20180110,",12
"344,20180111,",-1
"344,20180112,",0
"344,20180113,",0
"344,20180114,",0
"344,20180115,",140
"344,20180116,",32
"344,20180117,",13
"344,20180118,",115
"344,20180119,",13
"344,20180120,",12
"344,20180121,",23
"344,20180122,",5
"344,20180123,",14
"344,20180124,",52
"344,20180125,",1
"344,20180126,",0
"344,20180127,",14
"344,20180128,",3
"344,20180129,",28
"344,20180130,",0
"344,20180131,",62
"344,20180201,",71
"344,20180202,",59
"344,20180203,",50
"344,20180204,",1
"344,20180205,",0
"344,20180206,",0
"344,20180207,",0
"344,20180208,",-1
"344,20180209,",10
"344,20180210,",17
"344,20180211,",78
"344,20180212,",1
"344,20180213,",0
"344,20180214,",4
